sample_id,source_collection,source_record_id,source_url,source_url_status,phash_64,sha256
BLB-2E221D39DE6F1B34,Official websites of eight Chinese publishers,,,not_retained,97a8e81595ea5ab4,c9957e3d4d35fca3eb265cc1cbe4a1a291f3ef2d1ec4bcee1835e3a55b5271ba
BLB-1EE326BEA1A825B8,Official websites of eight Chinese publishers,,,not_retained,e993984c9669b396,2c219c1989549adb646c183fc0155606d07da8d8b9d865173396ad2ecb8a26e8
BLB-971A94DD0397F7FC,Official websites of eight Chinese publishers,,,not_retained,8d8b02942f5e9f2e,81b964000b00a5f752e31981aa4e6925656123d565d6dc8fc0e2e7e271343846
BLB-8B19FF991862184C,Official websites of eight Chinese publishers,,,not_retained,b6c2c12dcd32ad2d,6b43a55b5b1a67ab07d6e35378d21ca4e6bdd5feb577a9f847354b163ff0f502
BLB-ED119438ABF73ED3,Official websites of eight Chinese publishers,,,not_retained,ebeae609b09d61b0,e9b710fe8069ed9f531165e99d70922831f44f7692fc3019db5a787d16199572
BLB-8530346628FF5016,Official websites of eight Chinese publishers,,,not_retained,ae6b619d9a76a424,dedf5e0d8de317eb6dc64406bd087ca332015a359b820a3cbed8ba725805d179
BLB-ED7FDCFC812E4C81,Official websites of eight Chinese publishers,,,not_retained,8ce8a2b6dd3bc03c,dcbcf453f2ecfa4f06d86029f6e1c6990e5d660cfa2bfda553275b401d7b3a8a
BLB-B91521759E0CFF67,Official websites of eight Chinese publishers,,,not_retained,bbbb64449bc0649d,99bb167175a0ec28ba8c23b24bf9a1e2281a463d4fa4f3f82bb69251eb55e957
BLB-168B91986923D167,Official websites of eight Chinese publishers,,,not_retained,ed92cdd8134cf087,7a03807d9dd81fedf55c43de69ae3a25147d12ae64fe4ad79cd84b67ae83f340
BLB-E304B69AD879F120,Official websites of eight Chinese publishers,,,not_retained,f6da19eca601b1d4,36241488c125c6338f2f8a739b2a4cd563b0c5ab86223dfdfe271e841aea925d
BLB-A841D784072D4E7A,Official websites of eight Chinese publishers,,,not_retained,ea816a669d3b6338,164e1e451fe64ddc2f1600c18395f650e7f295a0ae8b081bb68f60e5aeb30e10
BLB-273126FB72F807A2,Official websites of eight Chinese publishers,,,not_retained,90d163be5ab24997,73765239dc2ad3a71ce53c0589e6304535d9c8982bb84d1188515da8e795579b
BLB-33917DCBC1E80809,Official websites of eight Chinese publishers,,,not_retained,f3453cd306f821d6,6009d5534c3a99b3c16b9466fa4a7c887cf7b117c216dd85a6dc965ee4b83dc1
BLB-041BE5B53D5745CB,Official websites of eight Chinese publishers,,,not_retained,d9b08c53634fa659,22b5c0f695b1cf1304060f3e11775c36b4e43883ea1cba3f3b7d8a569ade971b
BLB-15E9D41AD733EFF8,Official websites of eight Chinese publishers,,,not_retained,901163e6ec697177,7de3f667a6c3caf75658d8811120cea9f281c93013dbea7262d9ed9a8750aa87
BLB-3395F773931F9360,Official websites of eight Chinese publishers,,,not_retained,a4dadb35e464d311,6072754771944e7f0ff3d20390ce8544a643715074405781373647e14995f3e2
BLB-CED7B94640101C08,Official websites of eight Chinese publishers,,,not_retained,a4857f4a4347647e,cb4f07b4b30c1e6c818327da52d65d48cd5d811dd884504c18a685611955a283
BLB-8A0BA4C012224AB7,Official websites of eight Chinese publishers,,,not_retained,8226c6bdf183fea0,d6bf213f41b600d0233d0d6974198dd7671c4d200346eb61574e3aa0ec4c2459
BLB-AEB6A373B94D67C1,Official websites of eight Chinese publishers,,,not_retained,86a984b36de6b073,17435f269503196e0aefad7f5f26bdb3c5eb3c84608453f557c3a8ddeaf2ce86
BLB-08B807A52998B49B,Official websites of eight Chinese publishers,,,not_retained,983cb46c9ec6c6c6,10fe9b4747e98d11f9aaf058f804391c0ce4634af837ca449cde001d7331ac71
BLB-8A6007C02CFAE633,Official websites of eight Chinese publishers,,,not_retained,80338f489dbd4add,c68b68313e781aa77762348ac49cd5a29361a2b615508d9201086507f1d64da2
BLB-29A6D66FB7238B0E,Official websites of eight Chinese publishers,,,not_retained,a1ce9a892666dbac,2cc0e30f8d5cb5d44d94b5b22c5f79f078a759105b8acdb63da7c9090a121bbf
BLB-F292EF2A4CACC64D,Official websites of eight Chinese publishers,,,not_retained,8028bd9dce92d6d6,6ae7bd869a8e4425a2a5910ff78c8295543bfe150cc1f831e81b349d615aabfc
BLB-5E06866FA257829F,Official websites of eight Chinese publishers,,,not_retained,9827d5b867189d95,467fd951da96cc4f651379a37c8b624f76eadc2928d00767772938f522459888
BLB-9701296C5669AD32,Official websites of eight Chinese publishers,,,not_retained,ab853d5a943fc4c8,c375f2c508cb43333476b58f12852d419532eadeb4771958cc47eb09b3081ea5
BLB-0C618F903219BDE2,Official websites of eight Chinese publishers,,,not_retained,ca9c966a9d72628d,a3e19fa6d92e11edb43b462d79c849c39f7c057101c632c685853bcd6e1ef0bb
BLB-99B01FDB03B0B807,Official websites of eight Chinese publishers,,,not_retained,f4c548729d6aab19,774a9635ebc62aeac5a8124789d9db299f357c51287d754352eb5dbfb2a658ae
BLB-EE129CD78C301669,Official websites of eight Chinese publishers,,,not_retained,bfc0946989e18b3e,c4a9272f9e35f638c5f0c199a7b5d8113e0dc753b6383fdaf07d94132dad209b
BLB-BA2222E0FE646184,Official websites of eight Chinese publishers,,,not_retained,e16d9e928e986366,a2b2b2c84b907b0fcd1b0173e9ace4bc44a2166567f730efef5c66e1faa232ca
BLB-4CDA8F14E2F9188B,Official websites of eight Chinese publishers,,,not_retained,b5da2c3cb393c3c0,14bba873141d4fe98c644ee349e5ee892dc29f2e7cc93db5e72de1fd1a056b8c
BLB-2083EDEFE19EFC11,Official websites of eight Chinese publishers,,,not_retained,f31e0c43e0f80f1f,8e6fd47d27ace8e9f1b370d8ecc1286773bdf7fd7cc30f7d5944bbce8e98d6ad
BLB-84E8AB5E85CE1C85,Official websites of eight Chinese publishers,,,not_retained,d696396d0ce2077c,679220e44d86a635b1b196abec1f6cb8a2396e0a4544b14fdc6303a47de4ee56
BLB-81D19CDFA65F8FFE,Official websites of eight Chinese publishers,,,not_retained,bd3fc28cd2c169c2,f0bb9986b190c105a5d4310a9d25a5165cd47e16eaa003b201a3d1c103477e06
BLB-4DB43D3CFAFAF1A3,Official websites of eight Chinese publishers,,,not_retained,e5961a991ae0a33f,1090a27875cc10398b23f397efa3079ebb33e134ee9937a7155f5ed9ffb06b2a
BLB-FA29840C0C8B7172,Official websites of eight Chinese publishers,,,not_retained,eaa5e85f2718988d,da29c52e67f15ea6957daabd94e3d98054b80e6158014984203b3aaeb7e9b88c
BLB-E3C265F337965C70,Official websites of eight Chinese publishers,,,not_retained,c4f4c64ed81f4e38,87f08c72d63400713a72008800e3ecd8a3cb19bf15f6d020b733b01fe5f26e85
BLB-5195E551E2BB83ED,Official websites of eight Chinese publishers,,,not_retained,fe86788c8764c1e3,0b6fe5f52fbcfa57f0dc8d54ad484e6b5a3afb411d73e057b1ae189fb0767118
BLB-254BF67F412CA0B7,Official websites of eight Chinese publishers,,,not_retained,a9de2e29dee84249,011447fd4fbf68a4c7c779b4aa45cfb9c7bba7af4edeb2b775a3c5e2bba76287
BLB-0A5040073EF9E9A4,Official websites of eight Chinese publishers,,,not_retained,be1fc926c0c935d1,de543e14981fd55dbaadc990d62b78abf1227a9437381658c9385abd721d7ab5
BLB-42437E7437D4E65F,Official websites of eight Chinese publishers,,,not_retained,ca9362c13e1ddce4,231dc325aafe38f5c2caf21ffd32f07a8625f5b4fd453e15de9b27f7e20f63e2
BLB-14650C970DEE6839,Official websites of eight Chinese publishers,,,not_retained,eac26e95334c36b1,8c93fdfbcddf18f6f6c532f8c632d4e1890e8e95bb786540209ac06c36c974fe
BLB-F44CDD4FD61802E6,Official websites of eight Chinese publishers,,,not_retained,c042bf3d6cc41f2d,1a2241ee22f58a43e9b0754cd12be1b0a0aa947e1f016812f79c64abfc90c3f2
BLB-134416E06B817DC9,Official websites of eight Chinese publishers,,,not_retained,ab4fc0b42fcbb0c8,be22037d105590d500ce9f4f6be1b2d1982ac58597387b1fa2c42873af7bfda0
BLB-268F1121612CFCEC,Official websites of eight Chinese publishers,,,not_retained,8b863459cd371bc9,aa99d7d27dbfa9865701084ca714c1d486df03de4ca876f449948f72a69593f8
BLB-94349E919EE420F0,Official websites of eight Chinese publishers,,,not_retained,f2b60ecbcf8530e0,1ba183047562c14a6946aa1bd92372523c3fbb2f036dd94027d5bc7fb2fd7096
